seed,arm,root_revision,root_revised,untreated_transfer,identity_cross,threat_cross,identity_before_threat
703162,reversed_graph,0.0,false,0.0,0,23,false
703163,witnessing,0.31799639078802955,false,0.22895740136738124,0,23,false
703163,matched_exposure,0.009619371290107979,false,0.006925947328877746,0,23,false
703163,reversed_graph,0.0,false,0.0,0,23,false
703164,witnessing,0.38093421438918373,true,0.27427263436021226,1,19,true
703164,matched_exposure,0.34806929621409355,true,0.25060989327414734,1,19,true
703164,reversed_graph,0.0,false,0.0,0,19,false
703165,witnessing,0.33671849113574964,false,0.24243731361773974,0,19,false
703165,matched_exposure,0.004292339619281318,false,0.0030904845258825364,0,19,false
703165,reversed_graph,0.0,false,0.0,0,19,false
