seed,regime,dominance,depth,correct_2d,loss_2d,loss_1d,scalar_truth
702471,self_led_witnessing,0.0,1.0,true,0.0003768231038306182,0.5002125467388419,0.5
702471,known_urgent_threat,1.0,1.0,true,0.0001438801480936929,2.046171786722828e-5,1.0
702472,quiet_narrowing,0.0,0.0,true,0.0009526372685122646,0.0009008712649673826,0.0
702472,blended_capture,1.0,0.0,true,0.0003985823001973413,0.5002538174032475,0.5
702472,self_led_witnessing,0.0,1.0,true,0.000372562285189592,0.5000052434763258,0.5
702472,known_urgent_threat,1.0,1.0,true,9.722767858080137e-5,5.066846427396579e-5,1.0
702473,quiet_narrowing,0.0,0.0,true,0.0008245897566878258,0.00030425991809890655,0.0
702473,blended_capture,1.0,0.0,true,0.00012599286253161293,0.5001131825316163,0.5
702473,self_led_witnessing,0.0,1.0,true,0.00020226795342763362,0.5002017416470808,0.5
702473,known_urgent_threat,1.0,1.0,true,0.0012756934860061408,8.19268667621038e-5,1.0
702474,quiet_narrowing,0.0,0.0,true,0.00026129912917082323,0.00015317779106930923,0.0
702474,blended_capture,1.0,0.0,true,0.0012074159734966278,0.5000209146041815,0.5
702474,self_led_witnessing,0.0,1.0,true,0.000334759087893359,0.5000258812125429,0.5
702474,known_urgent_threat,1.0,1.0,true,2.6505656254813347e-5,1.6095600702479205e-5,1.0
702475,quiet_narrowing,0.0,0.0,true,0.0003238840062309192,1.5297997750040562e-8,0.0
702475,blended_capture,1.0,0.0,true,0.0007634471262218042,0.5006565664668076,0.5
702475,self_led_witnessing,0.0,1.0,true,0.0006462150528537184,0.5006457134498313,0.5
702475,known_urgent_threat,1.0,1.0,true,0.000786686438454825,0.0003054467352539174,1.0
702476,quiet_narrowing,0.0,0.0,true,0.00020230522721075814,8.06246263176861e-5,0.0
702476,blended_capture,1.0,0.0,true,0.00019064130581977775,0.5000003689842872,0.5
702476,self_led_witnessing,0.0,1.0,true,0.0008981624276072099,0.5000302478008632,0.5
702476,known_urgent_threat,1.0,1.0,true,0.00023847117684007953,0.0001406352217469309,1.0
702477,quiet_narrowing,0.0,0.0,true,0.0005934466161093903,0.00023960647865339246,0.0
702477,blended_capture,1.0,0.0,true,0.00015603138395728588,0.5001271517053848,0.5
702477,self_led_witnessing,0.0,1.0,true,3.65428999501843e-5,0.5000180235405128,0.5
702477,known_urgent_threat,1.0,1.0,true,0.001336882283562656,0.0012258235003209756,1.0
702478,quiet_narrowing,0.0,0.0,true,0.00010277095434110818,4.9341948611976074e-5,0.0
702478,blended_capture,1.0,0.0,true,0.00013335796374392027,0.5001014604186037,0.5
702478,self_led_witnessing,0.0,1.0,true,0.0004234831439142551,0.5000020089047443,0.5
702478,known_urgent_threat,1.0,1.0,true,0.00026853209867499454,5.4981106466260495e-6,1.0
702479,quiet_narrowing,0.0,0.0,true,0.0004956579203491311,6.105627426144005e-5,0.0
702479,blended_capture,1.0,0.0,true,0.00035799836720972557,0.5003434028018992,0.5
702479,self_led_witnessing,0.0,1.0,true,0.0005251223514064596,0.5000136773739225,0.5
702479,known_urgent_threat,1.0,1.0,true,0.001165816312725414,0.0007694356478967005,1.0
702480,quiet_narrowing,0.0,0.0,true,0.0001098477527439479,2.2657450971880178e-6,0.0
702480,blended_capture,1.0,0.0,true,9.082733108246483e-5,0.5000459765566581,0.5
702480,self_led_witnessing,0.0,1.0,true,7.818298775934969e-5,0.5000641617048797,0.5
702480,known_urgent_threat,1.0,1.0,true,0.00035445010652504055,1.2543923498248112e-5,1.0
702481,quiet_narrowing,0.0,0.0,true,0.0002462248561416194,8.016005133475079e-5,0.0
702481,blended_capture,1.0,0.0,true,2.2761144154282743e-5,0.5000001191317008,0.5
702481,self_led_witnessing,0.0,1.0,true,0.0002102108558575911,0.5001267203144635,0.5
702481,known_urgent_threat,1.0,1.0,true,3.40792266290992e-5,1.9355147516120752e-5,1.0
702482,quiet_narrowing,0.0,0.0,true,2.135640700053354e-5,1.4728290186853066e-5,0.0
702482,blended_capture,1.0,0.0,true,0.0009283124535941661,0.5006979486364518,0.5
702482,self_led_witnessing,0.0,1.0,true,0.0006963652832243109,0.5000838117526496,0.5
702482,known_urgent_threat,1.0,1.0,true,0.00018460269934999856,5.731770491530393e-5,1.0
702483,quiet_narrowing,0.0,0.0,true,0.00024099577070472544,9.733730794452827e-5,0.0
702483,blended_capture,1.0,0.0,true,1.7079012611411966e-5,0.5000000215386669,0.5
702483,self_led_witnessing,0.0,1.0,true,0.0009834168042289109,0.5004434226731704,0.5
702483,known_urgent_threat,1.0,1.0,true,8.646012950959963e-5,6.375015676634874e-5,1.0
702484,quiet_narrowing,0.0,0.0,true,0.0004092351487716915,0.0003681707298728668,0.0
702484,blended_capture,1.0,0.0,true,0.0001076922315288241,0.5000034459790748,0.5
702484,self_led_witnessing,0.0,1.0,true,0.00012807404818788998,0.5001271522977845,0.5
702484,known_urgent_threat,1.0,1.0,true,0.00014968456072874363,3.5645767617820614e-5,1.0
702485,quiet_narrowing,0.0,0.0,true,0.0003214002024979432,0.00020735558661487606,0.0
702485,blended_capture,1.0,0.0,true,0.0004335613679484488,0.5004320849167301,0.5
702485,self_led_witnessing,0.0,1.0,true,0.0007365851294692579,0.5007321229975501,0.5
702485,known_urgent_threat,1.0,1.0,true,0.00018558299226486337,2.194644589199872e-5,1.0
702486,quiet_narrowing,0.0,0.0,true,0.00043969021452239265,0.00043945756099675944,0.0
702486,blended_capture,1.0,0.0,true,0.00047015249732895536,0.5002212438271401,0.5
702486,self_led_witnessing,0.0,1.0,true,0.000108346082547455,0.5001033724783357,0.5
702486,known_urgent_threat,1.0,1.0,true,0.0001814466559674288,0.00016241030568262622,1.0
702487,quiet_narrowing,0.0,0.0,true,0.00045646976222472847,0.0004303593576998787,0.0
702487,blended_capture,1.0,0.0,true,7.402404276141204e-5,0.5000487833270583,0.5
702487,self_led_witnessing,0.0,1.0,true,0.00019420786161027722,0.5000004369499367,0.5
