seed,regularity,run_length,acute_timing,acute_count,low_control_fraction,uncontrollability_log_evidence,cumulative_overwhelm_precision,final_persistent_probability,maximum_step
63134,bernoulli,32,late,3,0.5,-1.9583723327944205,0.3027246677425578,0.4920759984219908,0.057536375652884164
63135,clustered,32,late,3,0.0,-2.7470421718461386,-0.4510471346338224,0.48432768666359,0.04418833211382761
63136,periodic,64,late,3,0.75,2.085319789857299,0.3027246677425578,0.7850971439648273,0.04378369032488405
63137,jittered,64,late,3,0.25,-2.2180183266958773,0.3027246677425578,0.6139603550939435,0.06121483168764541
63138,bernoulli,64,late,3,1.0,0.9790639706958731,-0.45104713463382234,0.7735553161964681,0.059231461204123814
63139,clustered,64,late,3,0.5,-0.7491164210157143,0.3027246677425578,0.6589302896344933,0.04410276373071287
63140,periodic,80,late,3,0.0,-2.401468105416237,0.3027246677425578,0.7147616894604996,0.05510020237532043
63141,jittered,80,late,3,0.75,2.6496778518955333,0.3027246677425578,0.8477538471178324,0.056334155593805446
63142,bernoulli,80,late,3,0.25,-1.195639368511422,-0.4510471346338224,0.7978266232031631,0.04417628029417153
63143,clustered,80,late,3,1.0,1.5215883850445382,0.3027246677425578,0.7342769867989083,0.06422151908517881
63144,periodic,16,early,0,0.75,-1.96599054260065,0.0,0.4786959016811431,0.04235458605275333
63145,jittered,16,early,0,0.25,-0.7033353044420244,0.0,0.4831536303603018,0.03383749296569988
63146,bernoulli,16,early,0,1.0,1.1242898637975163,0.0,0.49646655395101125,0.05648919826817461
63147,clustered,16,early,0,0.5,-1.4581965164250161,0.0,0.4208914101780042,0.04015071499921857
63148,periodic,32,early,0,0.0,-0.9774034932328368,0.0,0.6108631710530488,0.0420557385047996
63149,jittered,32,early,0,0.75,0.8169972493145851,0.0,0.6837542959340979,0.028985580360390895
63150,bernoulli,32,early,0,0.25,-3.16474529100825,0.0,0.47925343100152107,0.05602943621311829
63151,clustered,32,early,0,1.0,-0.7867775881649903,0.0,0.6270251195612356,0.0333316323800531
63152,periodic,64,early,0,0.5,-1.2852881965144598,0.0,0.6186404108525059,0.050528142919887054
63153,jittered,64,early,0,0.0,-1.609532775212692,0.0,0.5881401151123914,0.044898584983889434
63154,bernoulli,64,early,0,0.75,-1.344872288892667,0.0,0.7093237346471476,0.04706899687138649
63155,clustered,64,early,0,0.25,-1.8003453574340673,0.0,0.6421703420645877,0.054946901183807295
63156,periodic,80,early,0,1.0,2.517641476572357,0.0,0.7789517634935859,0.04688750067298553
63157,jittered,80,early,0,0.5,-0.27387415014675115,0.0,0.7601373700954202,0.05163904660501145
63158,bernoulli,80,early,0,0.0,-2.285549704171131,0.0,0.7001702661509652,0.056393858281540976
63159,clustered,80,early,0,0.75,-1.054547133480723,0.0,0.6915205233323061,0.04305018039948971
63160,periodic,16,middle,0,0.25,-1.8615746029099258,0.0,0.3976223524958857,0.04900975083257131
63161,jittered,16,middle,0,1.0,-1.0962618581483006,0.0,0.4613642485054516,0.042472107058015796
63162,bernoulli,16,middle,0,0.5,-2.1792402786606946,0.0,0.4417040159497683,0.032800016456515535
63163,clustered,16,middle,0,0.0,-0.18952370589300824,0.0,0.445157696857698,0.019555850656821694
63164,periodic,32,middle,0,0.75,1.560430974642885,0.0,0.621758889061682,0.04612360831286577
63165,jittered,32,middle,0,0.25,-0.6137555223075912,0.0,0.6044729222261178,0.03898752527057536
63166,bernoulli,32,middle,0,1.0,0.2663502060726915,0.0,0.6312041477127067,0.03941494878551566
63167,clustered,32,middle,0,0.5,-1.4057489587366354,0.0,0.4588717907499937,0.046811591675511854
63168,periodic,64,middle,0,0.0,-1.2262747249204768,0.0,0.7498787983990065,0.04692058348424466
63169,jittered,64,middle,0,0.75,-1.3660089344891695,0.0,0.7142852090377553,0.04811058881432273
63170,bernoulli,64,middle,0,0.25,-1.7603067257834437,0.0,0.780008543630805,0.05567919545105682
63171,clustered,64,middle,0,1.0,2.0457323163559757,0.0,0.7086853074348957,0.03905916828907752
63172,periodic,80,middle,0,0.5,0.5945888322794652,0.0,0.6862559626469102,0.04036798919655138
63173,jittered,80,middle,0,0.0,-1.7958586316677507,0.0,0.6531200232780039,0.05602286315863503
63174,bernoulli,80,middle,0,0.75,1.7430542669682787,0.0,0.7792913533617738,0.045438431734929785
63175,clustered,80,middle,0,0.25,-1.888385812068069,0.0,0.6936917964657038,0.05805407107097921
63176,periodic,16,late,0,1.0,0.06630654006828268,0.0,0.4617745943893461,0.035991224561250035
63177,jittered,16,late,0,0.5,-0.5352892760498014,0.0,0.4414292979342389,0.056334155593805446
63178,bernoulli,16,late,0,0.0,-1.8321731548248965,0.0,0.4612868163135197,0.03325024147332195
63179,clustered,16,late,0,0.75,1.108423448105376,0.0,0.4964790721493103,0.050769031750254934
63180,periodic,32,late,0,0.25,-2.648621223553493,0.0,0.5243821196078291,0.05691497654680977
63181,jittered,32,late,0,1.0,-1.5468693250807963,0.0,0.4471229297500903,0.05164381362982634
63182,bernoulli,32,late,0,0.5,0.047889261664177396,0.0,0.5963194555135356,0.041960483546488736
63183,clustered,32,late,0,0.0,-0.4124787600868179,0.0,0.6279060887699913,0.03723588306089576
63184,periodic,64,late,0,0.75,-2.3122093328523436,0.0,0.622248527092127,0.0510452591638455
63185,jittered,64,late,0,0.25,-0.6594186348964072,0.0,0.6858011800137234,0.05536616632734476
63186,bernoulli,64,late,0,1.0,0.28005937234739314,0.0,0.6958491395241003,0.0428771679105433
63187,clustered,64,late,0,0.5,-1.8660801386949504,0.0,0.708717609996243,0.05537045858073819
63188,periodic,80,late,0,0.0,-1.9147192807178102,0.0,0.7206943125474131,0.05513725130824476
