bundle_strength,volatility_sensitivity,initial_depth,initial_capture,final_depth,final_capture,residual,class
0.8,0.7,0.308,0.212,0.999999834884066,0.07530037619830822,7.15216854207195e-8,self
0.8,0.7,0.308,0.308,0.9999998348629467,0.07530037620363647,7.153083345716303e-8,self
0.8,0.7,0.308,0.404,0.9999998340024047,0.07530037642074298,7.19035862322812e-8,self
0.8,0.7,0.308,0.5,0.9999998320299942,0.07530037691836328,7.2757956402777e-8,self
0.8,0.7,0.308,0.596,0.9999998291444058,0.07530037764636953,7.400787911386784e-8,self
0.8,0.7,0.308,0.692,0.9999998255083191,0.07530037856371938,7.558288797288935e-8,self
0.8,0.7,0.308,0.788,0.9999998212159678,0.0753003796466385,7.744216472864305e-8,self
0.8,0.7,0.308,0.884,0.999999816367454,0.07530038086987215,7.954234902635974e-8,self
0.8,0.7,0.308,0.98,0.9999998110015151,0.07530038222364717,8.18666614347983e-8,self
0.8,0.7,0.404,0.02,0.9999998577903227,0.07530037041927962,6.159960152097949e-8,self
0.8,0.7,0.404,0.116,0.9999998577903227,0.07530037041927962,6.159960152097949e-8,self
0.8,0.7,0.404,0.212,0.9999998577903227,0.07530037041927962,6.159960152097949e-8,self
0.8,0.7,0.404,0.308,0.9999998577903227,0.07530037041927962,6.159960152097949e-8,self
0.8,0.7,0.404,0.404,0.9999998577841042,0.07530037042084851,6.160229516827692e-8,self
0.8,0.7,0.404,0.5,0.9999998569171298,0.07530037063957777,6.197783414543988e-8,self
0.8,0.7,0.404,0.596,0.9999998548710857,0.0753003711557751,6.286409948508862e-8,self
0.8,0.7,0.404,0.692,0.9999998519139599,0.07530037190182952,6.414500934234496e-8,self
0.8,0.7,0.404,0.788,0.9999998482160479,0.0753003728347772,6.574679846389179e-8,self
0.8,0.7,0.404,0.884,0.9999998439190588,0.07530037391886628,6.76080840870755e-8,self
0.8,0.7,0.404,0.98,0.9999998391148996,0.0753003751309095,6.968905571010859e-8,self
0.8,0.7,0.5,0.02,0.9999998806965796,0.07530036464025155,5.167751768143716e-8,self
0.8,0.7,0.5,0.116,0.9999998806965796,0.07530036464025155,5.167751768143716e-8,self
0.8,0.7,0.5,0.212,0.9999998806965796,0.07530036464025155,5.167751768143716e-8,self
