seed,history_length,matches,posterior_mean_association,posterior_absolute_deviation_from_zero,credible_interval_lower,credible_interval_upper,credible_interval_covers_zero,maximum_untreated_transfer,floor_violation
50038,1600,811,0.5068664169787765,0.006866416978776546,0.4828010168097223,0.5314712011205025,1,0.004792155202606008,0
50039,1600,833,0.5205992509363296,0.02059925093632964,0.49614902366872027,0.54526051652918,1,0.014371994393283183,0
50040,1600,845,0.5280898876404494,0.028089887640449396,0.5029188526376437,0.5523704275130656,0,0.01959228247978495,0
50041,1600,796,0.4975031210986267,0.0024968789013732895,0.47259814683625934,0.5217097989636891,1,0.0017426607011344353,0
50042,1600,800,0.5,0.0,0.4754922118441114,0.5240344585377336,1,0.0,0
50043,1600,819,0.5118601747815231,0.011860174781523125,0.4869424971495227,0.5360484296045028,1,0.008276720561390949,0
50044,1600,779,0.4868913857677903,0.013108614232209714,0.4622295991551669,0.511561943327264,1,0.009147719121410491,0
50045,1600,825,0.5156054931335831,0.01560549313358306,0.49078384286016113,0.5394571702546707,1,0.010889497915466007,0
50046,1600,815,0.5093632958801498,0.009363295880149836,0.4855481533835665,0.534252522366774,1,0.006534538675712631,0
50047,1600,818,0.5112359550561798,0.011235955056179803,0.48660829860768967,0.5355653030506813,1,0.007841196926866134,0
50048,1600,805,0.5031210986267166,0.003121098626716612,0.4792085172245897,0.5274796474683373,1,0.002178319575215859,0
50049,1600,779,0.4868913857677903,0.013108614232209714,0.46229838964180203,0.5107934012080283,1,0.009147719121410491,0
50050,1600,815,0.5093632958801498,0.009363295880149836,0.4845146484666317,0.5344361884358233,1,0.006534538675712631,0
50051,1600,801,0.5006242197253433,0.0006242197253433224,0.47668863226644714,0.524880987060383,1,0.0004356672757015456,0
50052,1600,801,0.5006242197253433,0.0006242197253433224,0.4760662439595136,0.524398471292414,1,0.0004356672757015456,0
50053,1600,802,0.5012484394506866,0.0012484394506866447,0.47661886682031696,0.5255167304277346,1,0.0008713337112327135,0
50054,1600,799,0.4993757802746567,0.0006242197253433224,0.47508923241843176,0.5236654275697021,1,0.0004356672757015456,0
50055,1600,815,0.5093632958801498,0.009363295880149836,0.4857217032695055,0.5341769716744064,1,0.006534538675712631,0
50056,1600,773,0.48314606741573035,0.01685393258426965,0.45895410503300127,0.5076100667927532,1,0.011760264731297376,0
50057,1600,807,0.5043695380774033,0.004369538077403257,0.4797590430586447,0.5287441697036616,1,0.0030496238810809873,0
50058,1600,835,0.5218476903870163,0.021847690387016283,0.49786022172284355,0.5464613686698714,1,0.015242358350432306,0
50059,1600,795,0.4968789013732834,0.003121098626716612,0.4725508274315368,0.521244155791861,1,0.002178319575215859,0
50060,1600,788,0.49250936329588013,0.0074906367041198685,0.4687622318732673,0.5172933406106437,1,0.005227767031175556,0
50061,1600,783,0.4893882646691635,0.01061173533083648,0.46426838789073965,0.513897852099805,1,0.007405658174870766,0
50062,1600,806,0.5037453183520599,0.0037453183520599342,0.47978035647854994,0.5286780246212363,1,0.0026139742485592476,0
50063,1600,755,0.47191011235955055,0.02808988764044945,0.44786978867649224,0.496244975911167,0,0.019592282479784895,0
50064,1600,827,0.5168539325842697,0.016853932584269704,0.4928166500554649,0.5418631923427318,1,0.011760264731297432,0
50065,1600,785,0.49063670411985016,0.009363295880149836,0.46529362342105374,0.5145255992903272,1,0.006534538675712631,0
50066,1600,801,0.5006242197253433,0.0006242197253433224,0.4750294347245613,0.5244038877938011,1,0.0004356672757015456,0
50067,1600,774,0.4837702871410737,0.016229712858926326,0.45881825030932233,0.5078711547512614,1,0.011324892237147444,0
50068,1600,823,0.5143570536828964,0.014357053682896415,0.48993290698944475,0.5386341182537796,1,0.010018647142824078,0
50069,1600,805,0.5031210986267166,0.003121098626716612,0.4783507593955137,0.5280970942533526,1,0.002178319575215859,0
50070,1600,789,0.49313358302122345,0.006866416978776546,0.46760704501876243,0.5182839606997434,1,0.004792155202605952,0
50071,1600,797,0.49812734082397003,0.0018726591760299671,0.4738073253200537,0.5224225412760163,1,0.001306998466428011,0
50072,1600,829,0.5181023720349563,0.01810237203495635,0.49306918679934975,0.542883684620449,1,0.012630940884588493,0
50073,1600,779,0.4868913857677903,0.013108614232209714,0.46180246083767906,0.5125691668259128,1,0.009147719121410491,0
50074,1600,799,0.4993757802746567,0.0006242197253433224,0.4753060771804506,0.5230270561808309,1,0.0004356672757015456,0
50075,1600,800,0.5,0.0,0.4761280307838999,0.5232576604717777,1,0.0,0
50076,1600,775,0.484394506866417,0.015605493133583004,0.4601893737955383,0.5084568238557968,1,0.010889497915466007,0
50077,1600,785,0.49063670411985016,0.009363295880149836,0.46595063139039516,0.5152610325621286,1,0.006534538675712631,0
50078,1600,784,0.49001248439450684,0.009987515605493158,0.4653532580169968,0.5150272178526546,1,0.00697010514469143,0
50079,1600,829,0.5181023720349563,0.01810237203495635,0.4931051936819735,0.5427410007620967,1,0.012630940884588493,0
50080,1600,771,0.4818976279650437,0.018102372034956293,0.45731970244616343,0.5065417397537382,1,0.012630940884588382,0
50081,1600,788,0.49250936329588013,0.0074906367041198685,0.4683040299228622,0.5168901104083817,1,0.005227767031175556,0
50082,1600,756,0.47253433208489387,0.02746566791510613,0.44780266000481445,0.49663881914438596,0,0.019157446030290515,0
50083,1600,790,0.4937578027465668,0.006242197253433224,0.46895302762962693,0.5179932262607146,1,0.004356534133430623,0
50084,1600,782,0.4887640449438202,0.011235955056179803,0.46465198244634875,0.5134672310048453,1,0.007841196926866079,0
50085,1600,835,0.5218476903870163,0.021847690387016283,0.4967840816820472,0.5460858774465498,1,0.015242358350432306,0
50086,1600,809,0.5056179775280899,0.005617977528089901,0.481309363758802,0.529973242120947,1,0.003920904663502256,0
50087,1600,811,0.5068664169787765,0.006866416978776546,0.4824492249534428,0.5313455117363305,1,0.004792155202606008,0
50088,1600,810,0.5062421972534332,0.006242197253433224,0.48133455119389346,0.5306194688827052,1,0.004356534133430623,0
50089,1600,815,0.5093632958801498,0.009363295880149836,0.48463405820111677,0.5337116994878466,1,0.006534538675712631,0
50090,1600,759,0.47440699126092384,0.025593008739076162,0.45030495212612354,0.49884437869532045,0,0.01785271870751065,0
50091,1600,804,0.5024968789013733,0.0024968789013732895,0.47805145559540907,0.5271596937472204,1,0.0017426607011343798,0
50092,1600,751,0.46941323345817726,0.03058676654182274,0.4457199253455412,0.49369268527858423,0,0.021331242736840117,1
50093,1600,814,0.5087390761548065,0.008739076154806513,0.48421897456656143,0.5330691092435066,1,0.006098959607411247,0
50094,1600,819,0.5118601747815231,0.011860174781523125,0.48765320972277154,0.5365810264591835,1,0.008276720561390949,0
50095,1600,769,0.48064918851435706,0.019350811485642938,0.4564392959598368,0.5047407369761544,1,0.013501519672103057,0
50096,1600,783,0.4893882646691635,0.01061173533083648,0.46423387714085085,0.5132119430051952,1,0.007405658174870766,0
50097,1600,768,0.48002496878901374,0.01997503121098626,0.45538703496193755,0.5052786014672943,1,0.013936770459660186,0
50098,1600,764,0.47752808988764045,0.02247191011235955,0.45263962219994236,0.5021447060571561,1,0.01567749670029267,0
50099,1600,804,0.5024968789013733,0.0024968789013732895,0.4778769029852025,0.5264190815401203,1,0.0017426607011343798,0
50100,1600,811,0.5068664169787765,0.006866416978776546,0.4827239206041863,0.5309314863109313,1,0.004792155202606008,0
50101,1600,792,0.4950062421972534,0.004993757802746579,0.4705466110423915,0.51974589263131,1,0.003485267632731659,0
50102,1600,830,0.5187265917602997,0.01872659176029967,0.49473968522239703,0.5432882350023539,1,0.013066242867917799,0
50103,1600,811,0.5068664169787765,0.006866416978776546,0.4823540844049562,0.530927431701725,1,0.004792155202606008,0
50104,1600,784,0.49001248439450684,0.009987515605493158,0.4652418995844658,0.5138720769349799,1,0.00697010514469143,0
50105,1600,770,0.4812734082397004,0.018726591760299616,0.4569479405316851,0.5059405038737588,1,0.013066242867917577,0
50106,1600,829,0.5181023720349563,0.01810237203495635,0.4941113656176561,0.5424830555431479,1,0.012630940884588493,0
50107,1600,800,0.5,0.0,0.47507950977323365,0.5248793433652236,1,0.0,0
50108,1600,796,0.4975031210986267,0.0024968789013732895,0.4733421510188336,0.5214857156161378,1,0.0017426607011344353,0
50109,1600,782,0.4887640449438202,0.011235955056179803,0.4639894075055553,0.5131266197066445,1,0.007841196926866079,0
50110,1600,834,0.521223470661673,0.02122347066167296,0.496262127017865,0.5457261204028291,1,0.014807190635850787,0
50111,1600,819,0.5118601747815231,0.011860174781523125,0.48731397460732834,0.5364123878984126,1,0.008276720561390949,0
50112,1600,786,0.4912609238451935,0.008739076154806513,0.4662763485047589,0.5158356086744783,1,0.006098959607411136,0
50113,1600,819,0.5118601747815231,0.011860174781523125,0.4871297946329692,0.5366101345835382,1,0.008276720561390949,0
50114,1600,766,0.4787765293383271,0.021223470661672905,0.454731970769521,0.5034477839483258,1,0.014807190635850842,0
50115,1600,825,0.5156054931335831,0.01560549313358306,0.4910968801775823,0.5400543317369616,1,0.010889497915466007,0
50116,1600,782,0.4887640449438202,0.011235955056179803,0.46429712414519414,0.5127363664485106,1,0.007841196926866079,0
50117,1600,823,0.5143570536828964,0.014357053682896415,0.489886961597055,0.5380886361023747,1,0.010018647142824078,0
50118,1600,796,0.4975031210986267,0.0024968789013732895,0.4730573000701489,0.5217497905983763,1,0.0017426607011344353,0
50119,1600,837,0.5230961298377028,0.023096129837702817,0.4982753945267161,0.5477250270555089,1,0.016112604848899315,0
50120,1600,774,0.4837702871410737,0.016229712858926326,0.45968963376263394,0.5088144081667363,1,0.011324892237147444,0
50121,1600,780,0.4875156054931336,0.012484394506866392,0.46286394952645066,0.5115459069298965,1,0.008712228239263264,0
50122,1600,793,0.49563046192259674,0.004369538077403257,0.4715882365933805,0.5191819725919365,1,0.0030496238810808762,0
50123,1600,778,0.48626716604244696,0.013732833957553037,0.46237464960106134,0.5105586423128132,1,0.009583192368875892,0
50124,1600,806,0.5037453183520599,0.0037453183520599342,0.47889364995524325,0.528279651938459,1,0.0026139742485592476,0
50125,1600,786,0.4912609238451935,0.008739076154806513,0.4672737689597101,0.5153394683101425,1,0.006098959607411136,0
50126,1600,797,0.49812734082397003,0.0018726591760299671,0.47293981194654205,0.5236865108283525,1,0.001306998466428011,0
