seed,trial,condition,cause,bound_correct,local_correct,inverted_correct,bound_confidence,local_confidence,probability_positive
8501,202,coherent_ambiguous,-1,true,true,true,0.4162053555223346,0.5536684682817498,0.2918973222388327
8501,203,coherent_ambiguous,-1,true,true,true,0.1917283459182122,0.46570852613105695,0.4041358270408939
8501,204,coherent_ambiguous,1,true,true,true,0.8441164738977813,0.4592095398310108,0.9220582369488907
8501,205,coherent_ambiguous,1,false,false,false,0.8394132145580329,0.4626049761698187,0.08029339272098357
8501,206,coherent_ambiguous,-1,true,true,true,0.8858952580436844,0.5292254702428977,0.05705237097815782
8501,207,coherent_ambiguous,1,true,true,true,0.7025802080908825,0.35071466902230203,0.8512901040454413
8501,208,coherent_ambiguous,1,false,false,false,0.3695741417068028,0.4128895018098329,0.3152129291465986
8501,209,coherent_ambiguous,1,true,true,true,0.8665755244979254,0.49101930054750104,0.9332877622489627
8501,210,coherent_ambiguous,1,false,false,false,0.5136471719746426,0.32335278869083023,0.2431764140126787
8501,211,coherent_ambiguous,-1,false,false,false,0.35423591692642464,0.24006351787637148,0.6771179584632123
8501,212,coherent_ambiguous,-1,true,true,true,0.7136571185676862,0.4408154676630809,0.1431714407161569
8501,213,coherent_ambiguous,-1,true,false,true,0.09158820370706011,0.35269740576209524,0.45420589814646994
8501,214,coherent_ambiguous,1,true,true,true,0.8203489629718463,0.43803138584949775,0.9101744814859232
8501,215,coherent_ambiguous,-1,true,true,true,0.15097632037599784,0.4482922718078605,0.4245118398120011
8501,216,coherent_ambiguous,1,true,true,true,0.8517102022324856,0.47860898238040867,0.9258551011162428
8501,217,coherent_ambiguous,1,false,false,false,0.1749159989779161,0.6151590260449976,0.41254200051104195
8501,218,coherent_ambiguous,-1,true,true,true,0.24930032513563538,0.18891514215442437,0.3753498374321823
8501,219,coherent_ambiguous,-1,true,true,true,0.9554853362649272,0.6958749093320881,0.022257331867536437
8501,220,coherent_ambiguous,-1,true,true,true,0.5648544476042519,0.258971194106801,0.21757277619787405
8501,221,coherent_ambiguous,-1,true,true,true,0.2614985864908781,0.3656730503676468,0.36925070675456095
8501,222,coherent_ambiguous,1,false,false,false,0.6293427924373174,0.39636465060032827,0.18532860378134128
8501,223,coherent_ambiguous,1,true,true,true,0.9142328645332138,0.6887902432168111,0.9571164322666069
8501,224,coherent_ambiguous,1,true,true,true,0.7844566420257006,0.4074615780185474,0.8922283210128503
8501,225,coherent_ambiguous,-1,true,true,true,0.7875365897840144,0.41630934992449814,0.1062317051079928
8501,226,coherent_ambiguous,-1,true,true,true,0.8855400159577377,0.5062749078724528,0.05722999202113117
8501,227,coherent_ambiguous,-1,true,true,true,0.9231223683067599,0.5689882398418059,0.038438815846620046
8501,228,coherent_ambiguous,-1,true,false,true,0.6031742989202816,0.47225289778583374,0.1984128505398592
8501,229,coherent_ambiguous,-1,true,true,true,0.9416443628346677,0.6491422352401898,0.029177818582666156
8501,230,coherent_ambiguous,1,true,true,true,0.9501285358663425,0.6681873130734838,0.9750642679331712
8501,231,coherent_ambiguous,-1,true,true,true,0.5248148509405732,0.31638280972045024,0.23759257452971339
8501,232,coherent_ambiguous,1,true,true,true,0.9226831502310311,0.6059527737210507,0.9613415751155155
8501,233,coherent_ambiguous,1,true,true,true,0.01806890023146579,0.27275134293008013,0.5090344501157329
8501,234,coherent_ambiguous,-1,true,true,true,0.6200551297757948,0.670066327609272,0.1899724351121026
8501,235,coherent_ambiguous,-1,true,true,true,0.34145753042024474,0.7567241670849404,0.32927123478987763
8501,236,coherent_ambiguous,-1,true,true,true,0.812254268580189,0.440232072268491,0.0938728657099055
8501,237,coherent_ambiguous,-1,true,true,true,0.9430069936431663,0.6417081099697804,0.028496503178416836
8501,238,coherent_ambiguous,-1,true,true,true,0.9445019790792373,0.6596299137382124,0.027749010460381345
8501,239,coherent_ambiguous,1,true,true,true,0.8169425529716541,0.4731124937977081,0.908471276485827
8501,240,coherent_ambiguous,1,true,true,true,0.3109122727079048,0.3823191995288398,0.6554561363539524
8501,1,salient_distractor,1,true,true,false,0.7814933035187406,0.38498725385788823,0.8907466517593703
8501,2,salient_distractor,-1,true,true,false,0.5741383122293344,0.49193308111224726,0.2129308438853328
8501,3,salient_distractor,1,true,false,false,0.13629330395898354,0.5545839939813272,0.5681466519794918
8501,4,salient_distractor,1,true,true,false,0.8886056997029173,0.7794871806951402,0.9443028498514586
8501,5,salient_distractor,-1,true,true,false,0.858702142579178,0.7547993354595622,0.07064892871041101
8501,6,salient_distractor,-1,false,false,true,0.35032788183106756,0.3399242781368354,0.6751639409155338
8501,7,salient_distractor,-1,true,true,true,0.22490455820814592,0.16407157002087872,0.38754772089592704
8501,8,salient_distractor,-1,true,true,true,0.45725229806487055,0.3325000069776668,0.2713738509675647
8501,9,salient_distractor,1,false,true,true,0.14384967242883007,0.5209276088745992,0.42807516378558497
8501,10,salient_distractor,-1,false,true,true,0.49635541931887706,0.4551535319771501,0.7481777096594385
8501,11,salient_distractor,1,true,true,false,0.6782859636905578,0.42948417139298734,0.8391429818452789
8501,12,salient_distractor,1,true,true,true,0.8338205521798803,0.45275342998371304,0.9169102760899401
8501,13,salient_distractor,1,true,false,false,0.4800979506089589,0.613835120917388,0.7400489753044794
8501,14,salient_distractor,-1,true,true,false,0.447167824086413,0.2767529904879536,0.2764160879567935
8501,15,salient_distractor,1,true,true,false,0.8308884145206568,0.4632844372596073,0.9154442072603284
