seed,dose,closed_exposure,open_exposure,exposure_effect,closed_revision,open_revision,revision_effect,avoidance_mediator
701268,0.5,10,24,-14,0.23509978970307116,0.049544677443577656,0.1855551122594935,0.5
701268,1.0,20,24,-4,0.9274851176039821,0.049544677443577656,0.8779404401604045,0.0
701269,0.0,0,24,-24,0.0,0.0017064914637285123,-0.0017064914637285123,1.0
701269,0.5,8,24,-16,0.006219793036985475,0.0017064914637285123,0.004513301573256963,0.5
701269,1.0,19,24,-5,0.30035083380285943,0.0017064914637285123,0.2986443423391309,0.0
701270,0.0,0,24,-24,0.0,0.23669770052175682,-0.23669770052175682,1.0
701270,0.5,10,24,-14,0.6853344747516189,0.23669770052175682,0.4486367742298621,0.5
701270,1.0,19,24,-5,0.9269770578421739,0.23669770052175682,0.6902793573204171,0.0
701271,0.0,0,24,-24,0.0,0.13627748026783054,-0.13627748026783054,1.0
701271,0.5,7,24,-17,0.3441297788570649,0.13627748026783054,0.20785229858923437,0.5
701271,1.0,18,24,-6,0.9340994985802858,0.13627748026783054,0.7978220183124554,0.0
701272,0.0,0,24,-24,0.0,0.10181752693973378,-0.10181752693973378,1.0
701272,0.5,9,24,-15,0.3788278591724598,0.10181752693973378,0.27701033223272603,0.5
701272,1.0,19,24,-5,0.9461986450640884,0.10181752693973378,0.8443811181243546,0.0
701273,0.0,0,24,-24,0.0,0.06088508296418543,-0.06088508296418543,1.0
701273,0.5,12,24,-12,0.2576133788576918,0.06088508296418543,0.19672829589350638,0.5
701273,1.0,23,24,-1,0.9548567751992362,0.06088508296418543,0.8939716922350507,0.0
701274,0.0,0,24,-24,0.0,0.03744538446827955,-0.03744538446827955,1.0
701274,0.5,9,24,-15,0.17445551434189746,0.03744538446827955,0.1370101298736179,0.5
701274,1.0,19,24,-5,0.9012436232986483,0.03744538446827955,0.8637982388303687,0.0
701275,0.0,0,24,-24,0.0,0.001291973964796652,-0.001291973964796652,1.0
701275,0.5,11,24,-13,0.008293062396151733,0.001291973964796652,0.007001088431355081,0.5
701275,1.0,21,24,-3,0.27508343430318943,0.001291973964796652,0.2737914603383928,0.0
701276,0.0,0,24,-24,0.0,0.3371551219402792,-0.3371551219402792,1.0
701276,0.5,10,24,-14,0.39944128958651004,0.3371551219402792,0.06228616764623085,0.5
701276,1.0,20,24,-4,0.4147125182952699,0.3371551219402792,0.0775573963549907,0.0
701277,0.0,0,24,-24,0.0,0.002687702526117927,-0.002687702526117927,1.0
701277,0.5,9,24,-15,0.027855120452128155,0.002687702526117927,0.025167417926010228,0.5
