seed,truth,selected,truth_probability,posterior,maximum_update_identity_error,maximum_decomposition_error
770086,global_downweight,cue_local_relearning,0.13104029053806193,"[0.13104029053806193, 0.6198709257434839, 0.05585730106073448, 0.19062210088133066, 0.002609381776388958]",2.220446049250313e-15,1.4210854715202004e-14
770087,global_downweight,cue_local_relearning,0.2631239707040065,"[0.2631239707040065, 0.7218563988262643, 0.0013309851555574237, 0.013679281458433628, 9.363855738031466e-06]",2.220446049250313e-15,2.842170943040401e-14
770088,global_downweight,continuous_drift,0.2839156106511909,"[0.2839156106511909, 0.021205248061646968, 5.543716866193336e-06, 0.694873591510449, 6.059846844648835e-09]",3.3306690738754696e-15,1.4210854715202004e-14
770089,global_downweight,global_downweight,0.5431943312859432,"[0.5431943312859432, 0.38237903969529, 0.00025984445932539295, 0.07256935080148086, 0.001597433757960467]",2.6645352591003757e-15,1.4210854715202004e-14
770090,global_downweight,global_downweight,0.6437264104955348,"[0.6437264104955348, 0.26945161010754537, 2.2373963388581025e-05, 0.08679939928805447, 2.0614547679773185e-07]",4.884981308350689e-15,1.4210854715202004e-14
770091,global_downweight,global_downweight,0.6846750374619056,"[0.6846750374619056, 0.16917519496986638, 0.0006241996694434241, 0.14552493715313383, 6.30745650706087e-07]",2.220446049250313e-15,2.842170943040401e-14
770092,global_downweight,cue_local_relearning,0.3715283513770622,"[0.3715283513770622, 0.4416570659499979, 1.9016413254928619e-07, 0.1868142550034446, 1.375053629132406e-07]",2.7755575615628914e-15,1.4210854715202004e-14
770093,global_downweight,global_downweight,0.6308541710897163,"[0.6308541710897163, 0.09001973138004891, 0.002741629913845646, 0.2757836331682392, 0.0006008344481500003]",2.6645352591003757e-15,1.4210854715202004e-14
770094,global_downweight,global_downweight,0.4417218049432008,"[0.4417218049432008, 0.1883999028423709, 0.08723092406490124, 0.2826464952032092, 8.72946317985002e-07]",2.6645352591003757e-15,2.1316282072803006e-14
770095,global_downweight,context_split,0.2689990436414514,"[0.2689990436414514, 0.19815206649171763, 0.3802965668273039, 0.11018534853569938, 0.04236697450382769]",9.992007221626409e-16,2.1316282072803006e-14
770096,global_downweight,continuous_drift,0.31194470025813265,"[0.31194470025813265, 0.11546001579712613, 1.0288038766777798e-06, 0.5725942535423758, 1.5984887568165088e-09]",3.1086244689504383e-15,1.4210854715202004e-14
770097,global_downweight,cue_local_relearning,0.3424505995467567,"[0.3424505995467567, 0.5661807347477512, 0.044152781148638645, 0.04721249389074438, 3.3906661089586785e-06]",2.6645352591003757e-15,1.4210854715202004e-14
770098,global_downweight,continuous_drift,0.4481609529754519,"[0.4481609529754519, 0.08315833362696759, 0.014426766227070861, 0.4542526254260339, 1.3217444757734064e-06]",3.1086244689504383e-15,2.842170943040401e-14
770099,global_downweight,cue_local_relearning,0.31332144113870364,"[0.31332144113870364, 0.6363883475356744, 4.9800953401681884e-11, 0.050290211273339686, 2.4814030314161985e-12]",4.440892098500626e-15,1.4210854715202004e-14
770100,cue_local_relearning,cue_local_relearning,0.3689177474757265,"[0.27983770701950017, 0.3689177474757265, 0.002815816051314803, 0.34842872883530657, 6.181520245583983e-10]",3.552713678800501e-15,2.1316282072803006e-14
770101,cue_local_relearning,global_downweight,0.25643174168072413,"[0.45080805939843993, 0.25643174168072413, 0.2398603118332949, 0.052899362812103515, 5.242754376156178e-07]",3.9968028886505635e-15,1.4210854715202004e-14
770102,cue_local_relearning,cue_local_relearning,0.6456988960712001,"[0.32222786313289803, 0.6456988960712001, 0.0001041890672551999, 0.031757162201617894, 0.00021188952702875797]",2.220446049250313e-15,2.842170943040401e-14
770103,cue_local_relearning,cue_local_relearning,0.4655825817848691,"[0.41297072946108326, 0.4655825817848691, 0.04293158137067343, 0.07585278253879879, 0.0026623248445754523]",1.7763568394002505e-15,1.4210854715202004e-14
770104,cue_local_relearning,cue_local_relearning,0.8526891882883709,"[0.12518902839459373, 0.8526891882883709, 1.1276168056574966e-07, 0.022121569595957492, 1.0095939730577952e-07]",2.6645352591003757e-15,2.842170943040401e-14
770105,cue_local_relearning,global_downweight,0.1505559124941699,"[0.5551865556170757, 0.1505559124941699, 0.0002179784411314044, 0.2940395471863118, 6.261311242721928e-09]",5.329070518200751e-15,2.842170943040401e-14
770106,cue_local_relearning,cue_local_relearning,0.669180933498599,"[0.04060743916654832, 0.669180933498599, 0.014384822850385982, 0.2758203869337831, 6.417550683689985e-06]",2.6645352591003757e-15,1.4210854715202004e-14
770107,cue_local_relearning,context_split,0.19588805101634804,"[0.26266104106820976, 0.19588805101634804, 0.4221264111631451, 0.11932448888399293, 7.868304267511787e-09]",2.6645352591003757e-15,1.4210854715202004e-14
770108,cue_local_relearning,continuous_drift,0.05306387248495315,"[0.0013208020272787247, 0.05306387248495315, 8.56124836903092e-08, 0.945615239659333, 2.159514725619227e-10]",5.329070518200751e-15,1.4210854715202004e-14
770109,cue_local_relearning,cue_local_relearning,0.6512782820555958,"[0.20732121489766417, 0.6512782820555958, 0.00017352416235781622, 0.14122193828545665, 5.040598925589436e-06]",3.552713678800501e-15,1.4210854715202004e-14
770110,cue_local_relearning,global_downweight,0.06217073891522208,"[0.7536542034715924, 0.06217073891522208, 1.262265871836338e-06, 0.18417227301271522, 1.522334598368796e-06]",3.3861802251067274e-15,1.4210854715202004e-14
770111,cue_local_relearning,context_split,0.02048103578066401,"[0.0011553490403854022, 0.02048103578066401, 0.956506460234961, 0.006988242608516518, 0.014868912335472911]",1.7763568394002505e-15,1.4210854715202004e-14
770112,cue_local_relearning,continuous_drift,0.013571860345473278,"[0.26517200655567424, 0.013571860345473278, 2.3115176456134887e-07, 0.7212559018525265, 9.456152573910948e-11]",5.995204332975845e-15,2.842170943040401e-14
770113,cue_local_relearning,cue_local_relearning,0.6607708868522673,"[0.25763076348621855, 0.6607708868522673, 0.011709621952947849, 0.0698887275323585, 1.7620799790704129e-10]",6.8833827526759706e-15,2.842170943040401e-14
770114,cue_local_relearning,cue_local_relearning,0.6146317071010702,"[0.340729391687485, 0.6146317071010702, 7.763483131033017e-05, 0.044554519974296845, 6.746405837578808e-06]",2.6645352591003757e-15,1.4210854715202004e-14
770115,cue_local_relearning,context_split,0.2544716066919895,"[0.03685001212389962, 0.2544716066919895, 0.6626547061224216, 0.045679074456679326, 0.0003446006050099038]",1.7763568394002505e-15,1.4210854715202004e-14
770116,cue_local_relearning,cue_local_relearning,0.898256775834428,"[0.06475886832019097, 0.898256775834428, 4.753101799046071e-06, 0.03697957850509144, 2.4238490424003384e-08]",3.3306690738754696e-15,1.4210854715202004e-14
770117,cue_local_relearning,global_downweight,0.29617145062991374,"[0.5457165925669183, 0.29617145062991374, 0.0033587361528141786, 0.1547001257030468, 5.309494730708554e-05]",1.7763568394002505e-15,1.4210854715202004e-14
770118,cue_local_relearning,cue_local_relearning,0.7072702964113806,"[0.06530676911187422, 0.7072702964113806, 9.127758579409551e-05, 0.22733042559476832, 1.2312961827917514e-06]",2.6645352591003757e-15,1.4210854715202004e-14
770119,cue_local_relearning,cue_local_relearning,0.8746969093017717,"[0.04979367358457158, 0.8746969093017717, 1.5945333177254345e-05, 0.07546624542487988, 2.72263555996124e-05]",2.6645352591003757e-15,1.4210854715202004e-14
770120,cue_local_relearning,cue_local_relearning,0.6198849983725752,"[0.34422693050201525, 0.6198849983725752, 4.809251010030435e-07, 0.035887589463189956, 7.371188411029166e-10]",4.884981308350689e-15,1.4210854715202004e-14
770121,cue_local_relearning,cue_local_relearning,0.46468854367483287,"[0.302783715382653, 0.46468854367483287, 0.016825753424779835, 0.21566891411513425, 3.3073402600155863e-05]",2.6645352591003757e-15,1.4210854715202004e-14
770122,cue_local_relearning,cue_local_relearning,0.4141619180313138,"[0.3748200516735971, 0.4141619180313138, 1.669195698155566e-05, 0.21099154918490373, 9.789153203726897e-06]",3.9968028886505635e-15,1.4210854715202004e-14
770123,cue_local_relearning,continuous_drift,0.4818529569539574,"[0.015248521644830253, 0.4818529569539574, 1.9080178114421355e-05, 0.5028336443026645, 4.579692043348071e-05]",2.4424906541753444e-15,2.842170943040401e-14
770124,cue_local_relearning,continuous_drift,0.1378150812218892,"[0.0035364064975068198, 0.1378150812218892, 0.39318868091946363, 0.463739305414343, 0.0017205259467972481]",1.3322676295501878e-15,1.4210854715202004e-14
