seed,arm,contact_descent,root_change,p1_permission_episode,p2_permission_episode,conjunction_episode,root_revision_episode,both_permissions_before_root,p1_final_permission,p2_final_permission,p1_probe_strengthening,p2_probe_strengthening,p1_opposed_effect,p2_opposed_effect,escalation_coupled
710156,escalation_probe,,,,,,,,,,0.06001909965135521,-0.02297258876099173,0.0,0.0,false
710157,befriend_both,false,0.03561552829105777,22,22,22,0,false,0.33913345539276346,0.33913345539276346,,,,,
710157,befriend_one,false,0.0,13,0,0,0,false,0.9304483061928112,0.01552343059646381,,,,,
710157,befriend_none,false,0.0,0,0,0,0,false,0.01552343059646381,0.01552343059646381,,,,,
710157,escalation_probe,,,,,,,,,,0.655242627912852,0.021261703826912726,0.0,0.0,false
710158,befriend_both,false,0.0007233020151948574,17,17,17,0,false,0.9183867636134593,0.9183867636134593,,,,,
710158,befriend_one,false,0.0,9,0,0,0,false,0.9308614660276636,0.015544649825509651,,,,,
710158,befriend_none,false,0.0,0,0,0,0,false,0.015544649825509651,0.015544649825509651,,,,,
710158,escalation_probe,,,,,,,,,,-0.07590883614757771,0.08416990242437605,0.0,0.0,false
710159,befriend_both,false,3.362039598388874e-5,24,24,24,0,false,0.7096693358965961,0.7096693358965961,,,,,
710159,befriend_one,false,0.0,17,0,0,0,false,0.9307952171509551,0.015528431756329984,,,,,
710159,befriend_none,false,0.0,0,0,0,0,false,0.015528431756329984,0.015528431756329984,,,,,
710159,escalation_probe,,,,,,,,,,-0.11613300257679438,0.09483653253128937,0.0,0.0,false
710160,befriend_both,false,0.06958304712137324,17,17,17,0,false,0.9231394197686832,0.9231394197686832,,,,,
710160,befriend_one,false,0.0,8,0,0,0,false,0.9308610448164555,0.015646290522630068,,,,,
710160,befriend_none,false,0.0,0,0,0,0,false,0.015646290522630068,0.015646290522630068,,,,,
710160,escalation_probe,,,,,,,,,,0.20119975067229712,0.246598213608326,0.0,0.0,false
710161,befriend_both,false,0.0002679264631008623,23,23,23,0,false,0.7070370380068317,0.7070370380068317,,,,,
710161,befriend_one,false,0.0,14,0,0,0,false,0.9308462681743891,0.015525103742501352,,,,,
710161,befriend_none,false,0.0,0,0,0,0,false,0.015525103742501352,0.015525103742501352,,,,,
710161,escalation_probe,,,,,,,,,,0.03063769516702497,0.025232829658101585,0.0,0.0,false
710162,befriend_both,false,0.0,0,0,0,0,false,0.040619835652649317,0.040619835652649317,,,,,
710162,befriend_one,false,0.0,14,0,0,0,false,0.8797234637158292,0.015526790416634196,,,,,
710162,befriend_none,false,0.0,0,0,0,0,false,0.015526790416634196,0.015526790416634196,,,,,
710162,escalation_probe,,,,,,,,,,0.35470836997003663,0.14837444876005457,0.0,0.0,false
710163,befriend_both,false,0.0,0,0,0,0,false,0.28424266526805825,0.28424266526805825,,,,,
710163,befriend_one,false,0.0,13,0,0,0,false,0.930011485619116,0.01552058089085056,,,,,
710163,befriend_none,false,0.0,0,0,0,0,false,0.01552058089085056,0.01552058089085056,,,,,
710163,escalation_probe,,,,,,,,,,0.10307714403656032,0.21506985707720006,0.0,0.0,false
710164,befriend_both,false,0.04404317274885776,17,17,17,0,false,0.8970821245315029,0.8970821245315029,,,,,
710164,befriend_one,false,0.0,10,0,0,0,false,0.9308537971095209,0.015528210408362332,,,,,
710164,befriend_none,false,0.0,0,0,0,0,false,0.015528210408362332,0.015528210408362332,,,,,
710164,escalation_probe,,,,,,,,,,0.016910266262701423,0.30921130266405494,0.0,0.0,false
710165,befriend_both,false,0.024187674603246993,15,15,15,0,false,0.9287726702617797,0.9287726702617797,,,,,
710165,befriend_one,false,0.0,9,0,0,0,false,0.9308615344120998,0.01558600214641471,,,,,
710165,befriend_none,false,0.0,0,0,0,0,false,0.01558600214641471,0.01558600214641471,,,,,
710165,escalation_probe,,,,,,,,,,-0.04341029384582473,0.02375660623269127,0.0,0.0,false
710166,befriend_both,false,0.018758387243425732,19,19,19,0,false,0.908993882691766,0.908993882691766,,,,,
710166,befriend_one,false,0.0,11,0,0,0,false,0.9308613844166638,0.015524343157074507,,,,,
710166,befriend_none,false,0.0,0,0,0,0,false,0.015524343157074507,0.015524343157074507,,,,,
710166,escalation_probe,,,,,,,,,,0.07778166560257138,0.630734503392861,0.0,0.0,false
