seed,bank_seed,stratum,dose,schedule,M_PT,M_PD,delivered_count,censored_count,mechanistic_error_PT,mechanistic_error_PD,matched_evidence_schedule_error
816009,820344,moderate,0.25,front_loaded,10.559393948976776,10.457526292630789,24,8,0.0,3.552713678800501e-15,0.0
816009,820344,moderate,0.35,front_loaded,13.87992569524992,13.78150740728784,21,11,0.0,3.552713678800501e-15,0.0
816009,820344,moderate,0.5,front_loaded,20.737194637921558,20.74244334179052,16,16,3.552713678800501e-15,0.0,0.0
816009,820344,moderate,0.65,front_loaded,25.485930070140387,25.362567579002636,11,21,1.7763568394002505e-15,0.0,0.0
816009,820344,moderate,0.75,front_loaded,28.182534025458885,28.06559842394148,8,24,1.7763568394002505e-15,0.0,0.0
816009,820344,moderate,1.0,front_loaded,36.39105993306021,35.73397199303458,0,32,0.0,0.0,0.0
816010,820363,moderate,0.0,front_loaded,0.0,0.0,32,0,7.105427357601002e-15,3.552713678800501e-15,0.0
816010,820363,moderate,0.25,front_loaded,7.735025632423586,6.712451792821199,24,8,0.0,3.552713678800501e-15,0.0
816010,820363,moderate,0.35,front_loaded,11.055557378696726,10.036432907478247,21,11,3.552713678800501e-15,3.552713678800501e-15,0.0
816010,820363,moderate,0.5,front_loaded,16.119048903059767,14.952222348605057,16,16,3.552713678800501e-15,5.329070518200751e-15,0.0
816010,820363,moderate,0.65,front_loaded,21.945726947486804,20.21323027667401,11,21,1.7763568394002505e-15,1.7763568394002505e-15,0.0
816010,820363,moderate,0.75,front_loaded,23.205076897270747,20.137355378463596,8,24,1.7763568394002505e-15,1.7763568394002505e-15,0.0
816010,820363,moderate,1.0,front_loaded,32.61969106615153,30.077053940681186,0,32,0.0,0.0,0.0
816011,820376,moderate,0.0,front_loaded,0.0,0.0,32,0,7.105427357601002e-15,7.105427357601002e-15,0.0
816011,820376,moderate,0.25,front_loaded,8.498212152487579,7.057670279763336,24,8,3.552713678800501e-15,7.105427357601002e-15,0.0
816011,820376,moderate,0.35,front_loaded,11.16974626054812,8.854332631457723,21,11,3.552713678800501e-15,3.552713678800501e-15,0.0
816011,820376,moderate,0.5,front_loaded,13.904651610241356,9.015556540225486,16,16,3.552713678800501e-15,3.552713678800501e-15,0.0
816011,820376,moderate,0.65,front_loaded,19.731329654668393,14.276564468294435,11,21,1.7763568394002505e-15,3.552713678800501e-15,0.0
816011,820376,moderate,0.75,front_loaded,22.402863762728934,16.07322681998882,8,24,1.7763568394002505e-15,1.7763568394002505e-15,0.0
816011,820376,moderate,1.0,front_loaded,32.199071191641714,26.18553462567748,0,32,0.0,0.0,0.0
816012,820474,moderate,0.0,front_loaded,0.0,0.0,32,0,3.552713678800501e-15,7.105427357601002e-15,0.0
816012,820474,moderate,0.25,front_loaded,8.765616530668183,8.412379799254929,24,8,0.0,7.105427357601002e-15,0.0
816012,820474,moderate,0.35,front_loaded,12.467741536973321,11.908970157383047,21,11,3.552713678800501e-15,3.552713678800501e-15,0.0
816012,820474,moderate,0.5,front_loaded,17.263828683155758,15.470050079018268,16,16,1.7763568394002505e-15,1.7763568394002505e-15,0.0
816012,820474,moderate,0.65,front_loaded,21.678322569306196,18.85852075718242,11,21,1.7763568394002505e-15,1.7763568394002505e-15,0.0
816012,820474,moderate,0.75,front_loaded,23.96826341733474,20.482573865405737,8,24,8.881784197001252e-16,8.881784197001252e-16,0.0
816012,820474,moderate,1.0,front_loaded,31.70328904975832,27.195025658226935,0,32,0.0,0.0,0.0
816013,820480,moderate,0.0,distributed,0.0,0.0,32,0,7.105427357601002e-15,7.105427357601002e-15,0.0
816013,820480,moderate,0.25,distributed,10.58446379623474,11.363894785875257,24,8,0.0,0.0,0.0
816013,820480,moderate,0.35,distributed,14.7656734710514,15.786787058386459,21,11,0.0,0.0,0.0
816013,820480,moderate,0.5,distributed,20.787334332437478,22.55518032827944,16,16,0.0,0.0,0.0
816013,820480,moderate,0.65,distributed,26.639082224122472,28.722556749592847,11,21,1.7763568394002505e-15,1.7763568394002505e-15,0.0
